110  2166  HCorefEngine   INFO  Finished batch 55 (10 iterations)  CRF Score = 2082.0  F1 = 0.941329856584094
112  2175  HCorefEngine   INFO  Finished batch 56 (10 iterations)  CRF Score = 2084.0  F1 = 0.9536082474226805
114  2185  HCorefEngine   INFO  Finished batch 57 (10 iterations)  CRF Score = 2084.0  F1 = 0.9536082474226805
116  2193  HCorefEngine   INFO  Finished batch 58 (10 iterations)  CRF Score = 2084.0  F1 = 0.9536082474226805
118  2203  HCorefEngine   INFO  Finished batch 59 (10 iterations)  CRF Score = 2084.0  F1 = 0.9536082474226805
120  2212  HCorefEngine   INFO  Finished batch 60 (10 iterations)  CRF Score = 2084.0  F1 = 0.9536082474226805
122  2220  HCorefEngine   INFO  Finished batch 61 (10 iterations)  CRF Score = 2084.0  F1 = 0.9536082474226805
124  2229  HCorefEngine   INFO  Finished batch 62 (10 iterations)  CRF Score = 2084.0  F1 = 0.9536082474226805
126  2240  HCorefEngine   INFO  Finished batch 63 (10 iterations)  CRF Score = 2084.0  F1 = 0.9536082474226805
128  2250  HCorefEngine   INFO  Finished batch 64 (10 iterations)  CRF Score = 2086.0  F1 = 0.9155982905982907
130  2262  HCorefEngine   INFO  Finished batch 65 (10 iterations)  CRF Score = 2086.0  F1 = 0.9155982905982907
132  2274  HCorefEngine   INFO  Finished batch 66 (10 iterations)  CRF Score = 2086.0  F1 = 0.9155982905982907
134  2291  HCorefEngine   INFO  Finished batch 67 (10 iterations)  CRF Score = 2086.0  F1 = 0.9155982905982907
136  2303  HCorefEngine   INFO  Finished batch 68 (10 iterations)  CRF Score = 2086.0  F1 = 0.9155982905982907
138  2315  HCorefEngine   INFO  Finished batch 69 (10 iterations)  CRF Score = 2086.0  F1 = 0.9155982905982907
140  2325  HCorefEngine   INFO  Finished batch 70 (10 iterations)  CRF Score = 2088.0  F1 = 0.9338235294117647
142  2337  HCorefEngine   INFO  Finished batch 71 (10 iterations)  CRF Score = 2088.0  F1 = 0.9338235294117647
144  2347  HCorefEngine   INFO  Finished batch 72 (10 iterations)  CRF Score = 2088.0  F1 = 0.9338235294117647
146  2362  HCorefEngine   INFO  Finished batch 73 (10 iterations)  CRF Score = 2088.0  F1 = 0.9338235294117647
148  2376  HCorefEngine   INFO  Finished batch 74 (10 iterations)  CRF Score = 2088.0  F1 = 0.9338235294117647
150  2388  HCorefEngine   INFO  Finished batch 75 (10 iterations)  CRF Score = 2088.0  F1 = 0.9338235294117647
152  2400  HCorefEngine   INFO  Finished batch 76 (10 iterations)  CRF Score = 2088.0  F1 = 0.9338235294117647
154  2415  HCorefEngine   INFO  Finished batch 77 (10 iterations)  CRF Score = 2088.0  F1 = 0.9338235294117647
156  2425  HCorefEngine   INFO  Finished batch 78 (10 iterations)  CRF Score = 2090.0  F1 = 0.9536082474226805
158  2434  HCorefEngine   INFO  Finished batch 79 (10 iterations)  CRF Score = 2090.0  F1 = 0.9536082474226805
160  2445  HCorefEngine   INFO  Finished batch 80 (10 iterations)  CRF Score = 2090.0  F1 = 0.9536082474226805
162  2455  HCorefEngine   INFO  Finished batch 81 (10 iterations)  CRF Score = 2090.0  F1 = 0.9536082474226805
164  2468  HCorefEngine   INFO  Finished batch 82 (10 iterations)  CRF Score = 2090.0  F1 = 0.9536082474226805
